"Total Sales", "Vendas Totais"
"Product Advanced Report", "Relatório Avançado de Produto"
"Advanced Report", "Relatório Avançado"
"Real Profit", "Lucro Real"
"Stock Total Value (Production)", "Valor Total do Estoque (Produção)"
"Stock Total Value (Sales)", "Valor Total do Estoque (Vendas)"
"Production Cost", "Custo de Produção"
"Real Profit Percentage", "Porcentagem de Lucro Real"
"Production Cost Attribute Code", "Código do atributo de Custo de Produção"
"Production Cost attribute code not configured. Configure it before consulting this report", "Atributo de Custo de Produção não configurado. Configure-o antes de consultar esse relatório"
"Category Report", "Relatório por Categoria"
"Last Purchase" , "Ultima Compra"
